Neighbourhood,Latitude,Longitude
Urca,-22.954241276905158,-43.16809787450212
Urca,-22.945823859740997,-43.16035772071175
Urca,-22.953370935513774,-43.17130133860116
Humaitá,-22.954901313574055,-43.19877117234557
Humaitá,-22.95806263410275,-43.20095985497527
Joá,-23.013356162863417,-43.288517795341974
Joá,-23.01541014056713,-43.29448302788461
Joá,-23.010196136094976,-43.29263766817717
Cacuia,-22.813285165615966,-43.185753412308735
Cacuia,-22.823372137378872,-43.18073231691751
Bancários,-22.788071210943684,-43.18499517613594
Bancários,-22.791355110830672,-43.1813902870988
Bancários,-22.79780398526361,-43.17563963077765
Bancários,-22.794698038068752,-43.17800002657593
Gericinó,-22.84865887281063,-43.47924838054953
Gericinó,-22.853009076178513,-43.476287221697596
Gericinó,-22.837861857714575,-43.47727427464824
Barra de Guaratiba,-23.028065150693077,-43.557731839339176
Barra de Guaratiba,-23.019059861455897,-43.5344717219805
Barra de Guaratiba,-23.06637040130477,-43.563697072054204
Barra de Guaratiba,-22.992153421862955,-43.54556434368627
Copacabana,-22.96489408120172,-43.17983298229612
Copacabana,-22.96947763315254,-43.19013266525938
Copacabana,-22.981172889010413,-43.19253592461747
Bangu,-22.881662041832904,-43.46733082300222
Bangu,-22.863947713875536,-43.46595753183948
Bangu,-22.858411512621224,-43.50466717268562
Mangueira,-22.906312478465416,-43.235318179769244
Mangueira,-22.902300007586078,-43.23761415056804
Mangueira,-22.90753793860379,-43.233386989170725
Parque Anchieta,-22.833664409934787,-43.40190215284478
Parque Anchieta,-22.837342723896693,-43.40851111551353
Parque Anchieta,-22.834574109878595,-43.417008353236135
Ricardo de Albuquerque,-22.83301081102859,-43.39033182925682
Ricardo de Albuquerque,-22.842127353656732,-43.404644096516215
Ricardo de Albuquerque,-22.837905343155075,-43.39497741520557
Água Santa,-22.906664113122012,-43.30754526450348
Água Santa,-22.907444849021,-43.31257708827751
Barros Filho,-22.84099950694768,-43.361432863428966
Barros Filho,-22.834631781632684,-43.36542399023807
Costa Barros,-22.825225868563525,-43.36615159356494
Costa Barros,-22.824236996272926,-43.372545979527914
Catumbi,-22.915730763810764,-43.19558380377391
Catumbi,-22.92318166274683,-43.198308927993025
Catumbi,-22.919308037005216,-43.19566963445798
Paquetá,-22.759728230461544,-43.108702676294186
Grumari,-23.04167895537262,-43.50762420639792
Grumari,-23.04809621287097,-43.52538042672116
Freguesia (Ilha),-22.78317693954165,-43.162442005957836
Freguesia (Ilha),-22.788196513239754,-43.1729771075391
Galeão,-22.81209229386866,-43.23819331393929
Galeão,-22.795205859357598,-43.223802616501054
Tauá,-22.794853867594007,-43.184357935628846
Tauá,-22.8018168775975,-43.185130411785444
Tauá,-22.79881016691126,-43.191481882406386
Portuguesa,-22.79998015542388,-43.206630881001885
Moneró,-22.79646321731312,-43.19799786957987
Vigário Geral,-22.805927701424437,-43.310489143670104
Vigário Geral,-22.812019859578093,-43.30907293738301
Cocotá,-22.80329822929074,-43.180131018385836
Cocotá,-22.801338056800667,-43.18008475593862
Cocotá,-22.804900553298967,-43.18109312374027
Jardim América,-22.805716089150327,-43.32422466640616
Jardim América,-22.813232360559308,-43.32057686233332
Jardim América,-22.81002810608846,-43.3258125340614
Jardim Carioca,-22.807587897735793,-43.18983999124114
Jardim Carioca,-22.807470793231136,-43.18803727806081
Jardim Carioca,-22.803759674231753,-43.19738129829818
Pavuna,-22.81457047022132,-43.35896999378817
Pavuna,-22.8081032103181,-43.35577446540185
Pavuna,-22.814646940412253,-43.37649899587482
Cordovil,-22.824204342916634,-43.30063527010465
Cordovil,-22.821031812041134,-43.29288570668275
Cordovil,-22.82583949226304,-43.3066369650862
Jardim Guanabara,-22.812641655011227,-43.20111483376797
Jardim Guanabara,-22.811349789773804,-43.20762995996867
Jardim Guanabara,-22.815844796993886,-43.19316322868269
Parada de Lucas,-22.81157202176647,-43.29752410812613
Parada de Lucas,-22.817762819979208,-43.303317679643506
Parada de Lucas,-22.82144156351577,-43.310291423026015
Parque Colúmbia,-22.81307377874506,-43.34136825461013
Parque Colúmbia,-22.818915130226824,-43.34678311936966
Praia da Bandeira,-22.809540643892937,-43.18056331899449
Praia da Bandeira,-22.81202419516234,-43.17839485558992
Praia da Bandeira,-22.812780861905594,-43.1800826317379
Penha Circular,-22.84097507041242,-43.29638133966195
Penha Circular,-22.831324486565084,-43.28282009157939
Penha Circular,-22.818350492257267,-43.275953636854055
Irajá,-22.824224910250926,-43.327448123695234
Irajá,-22.835978025178814,-43.32175340772155
Irajá,-22.847605705429395,-43.32449998961169
Anchieta,-22.822905690924976,-43.398790954004596
Anchieta,-22.820653480276185,-43.39192904744226
Anchieta,-22.825872384555197,-43.40962691386836
Acari,-22.824010876977688,-43.3423951650601
Pitangueiras,-22.81723393438447,-43.18061898220959
Brás de Pina,-22.83288786502525,-43.29874377671446
Brás de Pina,-22.82467200069001,-43.2853163961643
Brás de Pina,-22.83511409609047,-43.313211368486
Penha,-22.833170021207955,-43.27086218021663
Penha,-22.84543742016714,-43.286872271796334
Penha,-22.839821364276084,-43.276915912444586
Zumbi,-22.821218071033627,-43.176533136423615
Zumbi,-22.82217679556993,-43.175752431267725
Zumbi,-22.82049858383646,-43.177196072483014
Ribeira,-22.823252344396938,-43.171900811419064
Ribeira,-22.823212789069824,-43.16825300734624
Ribeira,-22.828236223658543,-43.17125708128857
Coelho Neto,-22.831668007183396,-43.35322244184646
Coelho Neto,-22.83487575601368,-43.34571783729596
Guadalupe,-22.841098080758503,-43.37422629349885
Guadalupe,-22.844059925712575,-43.36914327592432
Vista Alegre,-22.829704520935685,-43.31658699446598
Vista Alegre,-22.831597133082674,-43.31163832659473
Colégio,-22.839737472735536,-43.33639457218969
Colégio,-22.837964069295616,-43.33304388958386
Honório Gurgel,-22.852627414370644,-43.35762804819763
Honório Gurgel,-22.848324175261343,-43.3557895992881
Honório Gurgel,-22.84377607537431,-43.35433047765897
Olaria,-22.84996193423796,-43.27331553206469
Olaria,-22.84887224785335,-43.26799425639118
Olaria,-22.842712853358535,-43.262858281445645
Vila da Penha,-22.841365926778202,-43.307651693140855
Vila da Penha,-22.845002596210662,-43.31225377659982
Maré,-22.86658496339003,-43.23960399880579
Maré,-22.858241193136685,-43.24196434263526
Maré,-22.844478784446345,-43.2458267234491
Maré,-22.874117642864725,-43.23900318416729
Vila Militar,-22.854468940935018,-43.404303935517845
Vila Militar,-22.864540140529996,-43.40403609665668
Cidade Universitária,-22.8654402620186,-43.220053780424024
Cidade Universitária,-22.85413047806999,-43.23241339892964
Cidade Universitária,-22.842503355675188,-43.23524581150384
Cidade Universitária,-22.862632676207337,-43.225804436256475
Rocha Miranda,-22.849402399995057,-43.346606684951595
Rocha Miranda,-22.852526234377,-43.341735142204655
Rocha Miranda,-22.85392449208917,-43.346445139327784
Ramos,-22.852036838271744,-43.25748167190473
Ramos,-22.84869723602395,-43.25462708676358
Realengo,-22.85830138690418,-43.43657761625308
Realengo,-22.873731442247106,-43.42964345991618
Realengo,-22.888083935977615,-43.42526609449955
Realengo,-22.899588558622888,-43.436123676371395
Vila Kosmos,-22.855739165159548,-43.30509976810705
Vila Kosmos,-22.850954029891373,-43.303426069767745
Marechal Hermes,-22.8550014180212,-43.36980676896286
Marechal Hermes,-22.862880166271353,-43.37114155070289
Marechal Hermes,-22.87197557731094,-43.37181196923861
Vicente de Carvalho,-22.857318263047105,-43.31777786126794
Paciência,-22.89418108313282,-43.63952935473269
Paciência,-22.872674387718206,-43.63598145711495
Paciência,-22.92612322178961,-43.63083161607095
Engenho da Rainha,-22.864070785117605,-43.295191649976886
Engenho da Rainha,-22.86296617327714,-43.291283614524524
Complexo do Alemão,-22.86083392579496,-43.2716543216992
Complexo do Alemão,-22.85765114733111,-43.27632992774785
Complexo do Alemão,-22.860416247747697,-43.27875614018761
Vaz Lobo,-22.8570070198229,-43.330185077199296
Vaz Lobo,-22.860803335532424,-43.325421474233586
Padre Miguel,-22.876650202456617,-43.45115218228443
Padre Miguel,-22.883767178174253,-43.44686064808109
Padre Miguel,-22.870640021347924,-43.44548735713602
Bento Ribeiro,-22.86257963627029,-43.35929895064005
Bento Ribeiro,-22.871620814664567,-43.363405860935245
Turiaçú,-22.861594388989925,-43.34184353931283
Bonsucesso,-22.863179437160603,-43.25373358920224
Bonsucesso,-22.870137480669133,-43.253309500386834
Inhaúma,-22.873323673583805,-43.28125727873966
Inhaúma,-22.86976184242643,-43.28472942418168
Tomás Coelho,-22.868667577095493,-43.306577259283735
Tomás Coelho,-22.869755791931293,-43.30204823950757
Tomás Coelho,-22.865445816729263,-43.310163482375955
Tomás Coelho,-22.862173589769743,-43.30457375907613
Santíssimo,-22.87274926759965,-43.52216275114489
Santíssimo,-22.882921552772043,-43.510580968914105
Madureira,-22.87231078324777,-43.336869763221706
Madureira,-22.867597586095126,-43.332950477679475
Madureira,-22.876905698693488,-43.33871504989155
Osvaldo Cruz,-22.87102458323467,-43.3499964423072
Osvaldo Cruz,-22.872715402460905,-43.35361943428663
Santa Cruz,-22.912284305594603,-43.70442993633491
Santa Cruz,-22.939549926264398,-43.66212030337675
Magalhães Bastos,-22.87053550925873,-43.41535395956611
Magalhães Bastos,-22.876859246415663,-43.411953875433866
Senador Camará,-22.871827169536008,-43.49403343447068
Senador Camará,-22.894917263786393,-43.489656069420256
Cavalcanti,-22.869535484154053,-43.31765621637914
Cavalcanti,-22.87542709375293,-43.31422298901647
Campo dos Afonsos,-22.879154748405384,-43.382191755127955
Higienópolis,-22.87353202228671,-43.261660629450304
Higienópolis,-22.877104112428565,-43.25904622080645
Manguinhos,-22.883766566119583,-43.24471355451268
Manguinhos,-22.875704704278625,-43.24787427210599
Engenheiro Leal,-22.874224438417777,-43.325045394397534
Pilares,-22.879536936471297,-43.295199823510636
Pilares,-22.87691048367965,-43.299206612379535
Del Castilho,-22.878139774075105,-43.26849486027163
Del Castilho,-22.880260511304186,-43.27287345385956
Piedade,-22.899917599383393,-43.313502232766524
Piedade,-22.89082470188387,-43.310069005403854
Piedade,-22.883233642536382,-43.30732242351372
Cascadura,-22.887351633226636,-43.33420084000549
Cascadura,-22.883494714849093,-43.32870402394408
Cascadura,-22.880218564142616,-43.32195218493734
Vila Valqueire,-22.887129387234893,-43.3662295583701
Vila Valqueire,-22.88067361313338,-43.370753931763836
Vila Valqueire,-22.882808681750276,-43.36328666225003
Maria da Graça,-22.883210788673637,-43.26398947816513
Maria da Graça,-22.88211765449976,-43.262141754387144
Quintino Bocaiúva,-22.89603599860755,-43.32479959296204
Quintino Bocaiúva,-22.89072106765588,-43.319981131841125
Quintino Bocaiúva,-22.885732495759935,-43.31708909393183
Jardim Sulacap,-22.89488198872921,-43.39617162746642
Campinho,-22.88610036376074,-43.34433477930352
Campinho,-22.88374812935985,-43.35160887835475
Abolição,-22.88744072189237,-43.29806880925645
Abolição,-22.883898087860224,-43.30074593116152
Senador Vasconcelos,-22.899262881477476,-43.534375768737235
Senador Vasconcelos,-22.891186861455623,-43.52739786908134
Cosmos,-22.910439620264157,-43.61666115608446
Cosmos,-22.89509889454648,-43.60894876244643
Jacarezinho,-22.887301213582894,-43.258777358501916
Jacarezinho,-22.884345297380627,-43.25633014652226
Cachambi,-22.890787035096693,-43.274629784028775
Cachambi,-22.888352018083083,-43.27808426365716
Cachambi,-22.8936029421287,-43.26931163788716
Praça Seca,-22.89809706096989,-43.352426130599724
Praça Seca,-22.898814141011183,-43.347471693597655
Praça Seca,-22.90426500784166,-43.353994642148194
Praça Seca,-22.888334788573523,-43.35245948220403
Benfica,-22.892503574323136,-43.24182971752852
Benfica,-22.89268971756293,-43.23614535670982
Engenho de Dentro,-22.896546065593828,-43.295355081830344
Engenho de Dentro,-22.904559710032906,-43.298337059007025
Engenho de Dentro,-22.91270298723155,-43.29868038174328
São Cristóvão,-22.9020203507281,-43.22116950102112
São Cristóvão,-22.896828052030802,-43.230131248852345
Vasco da Gama,-22.89327037206801,-43.224451494799126
Vasco da Gama,-22.890325759463174,-43.227125019739134
Inhoaíba,-22.908055317579063,-43.59230062973966
Inhoaíba,-22.91528548673551,-43.59769196821055
Todos os Santos,-22.893693589138795,-43.28459076502115
Todos os Santos,-22.898909843504995,-43.28736869141857
Jacaré,-22.892092231373063,-43.25523980814957
Jacaré,-22.892498937377585,-43.259251130371084
Jacaré,-22.89576741917093,-43.26334162344806
Encantado,-22.900536090958894,-43.30521917055202
Encantado,-22.897377351861856,-43.3035427394431
Encantado,-22.892836355340087,-43.303196044185256
Rocha,-22.899247856112524,-43.24888816291564
Rocha,-22.89357429376983,-43.24861599815761
Méier,-22.900040782862696,-43.27645612976909
Méier,-22.903195888005328,-43.27990088543514
Méier,-22.905304196756013,-43.2875992693318
Gamboa,-22.896782737728365,-43.19148646797997
Santo Cristo,-22.899512300905084,-43.20416322217531
Santo Cristo,-22.905447643888017,-43.20660592441317
Centro,-22.907522738897327,-43.18859004894537
Centro,-22.91246399823987,-43.18794631881488
Centro,-22.903648665635373,-43.179427623421255
Centro,-22.90926208272533,-43.17698144892534
Centro,-22.9076018004645,-43.17022228255507
Centro,-22.898321634223226,-43.178494215040764
Centro,-22.901780769459005,-43.18653011381551
Sampaio,-22.90604340472094,-43.26064694344913
Sampaio,-22.899564902612013,-43.26033497144675
Riachuelo,-22.906718554849515,-43.25462952833735
Riachuelo,-22.902765252704228,-43.25488051384056
Riachuelo,-22.896289876407476,-43.255678101577345
Saúde,-22.897160392422954,-43.18426073943259
São Francisco Xavier,-22.90265526165052,-43.24293496207294
São Francisco Xavier,-22.905070589249547,-43.244493203890244
Engenho Novo,-22.911758508939847,-43.26917718511733
Engenho Novo,-22.90728656197672,-43.26773223623269
Tanque,-22.91499183688556,-43.34881547564307
Tanque,-22.917497131727682,-43.35630956821093
Tanque,-22.91025602321377,-43.36999614559848
Tanque,-22.92412046094861,-43.36184223061216
Taquara,-22.93088643287907,-43.37450783382258
Taquara,-22.92049901204514,-43.381471283186016
Taquara,-22.912412850717995,-43.38965068196628
Taquara,-22.91162226094762,-43.40570101989119
Lins de Vasconcelos,-22.91442599289538,-43.281916042915654
Lins de Vasconcelos,-22.913187911880087,-43.284184355217974
Lins de Vasconcelos,-22.909841510410118,-43.27882965285753
Freguesia (Jacarepaguá),-22.922311398722762,-43.33518064016909
Freguesia (Jacarepaguá),-22.937714071353554,-43.3380908468488
Freguesia (Jacarepaguá),-22.943461931525594,-43.34775763323544
Cidade Nova,-22.908767383417302,-43.20061217213208
Cidade Nova,-22.910752745512944,-43.19932882371928
Praça da Bandeira,-22.910759939948132,-43.21285631893865
Praça da Bandeira,-22.912586555746405,-43.21421869493449
Vila Isabel,-22.9199011064085,-43.23948355700806
Vila Isabel,-22.913655667227843,-43.243260107107
Vila Isabel,-22.915632103159247,-43.255791386980746
Maracanã,-22.9130362076949,-43.23193196158697
Maracanã,-22.913046870745323,-43.222654525316585
Glória,-22.922357081227318,-43.17385014658221
Glória,-22.92063586793428,-43.17831636645666
Glória,-22.917038865839466,-43.174625647041786
Rio Comprido,-22.92703342167189,-43.211521547384095
Rio Comprido,-22.926215634494472,-43.20320081439778
Santa Teresa,-22.922425524016873,-43.18917538116861
Santa Teresa,-22.917675716154864,-43.18277603214749
Santa Teresa,-22.92518579656897,-43.1948781586009
Estácio,-22.91618458323409,-43.20313524317247
Estácio,-22.91553629575091,-43.205140910880175
Estácio,-22.918459227396497,-43.204990848114406
Tijuca,-22.93537163641441,-43.2427662681058
Tijuca,-22.928415582845865,-43.230308817293874
Tijuca,-22.92122446385906,-43.22278360836005
Grajaú,-22.928647055654814,-43.26974130177892
Grajaú,-22.925547494651624,-43.26387756533461
Pechincha,-22.934664342886492,-43.357044473386225
Pechincha,-22.927424505630693,-43.351779190632854
Pechincha,-22.92402510941804,-43.3487919533009
Andaraí,-22.924059443653547,-43.249408436878454
Andaraí,-22.93119776058235,-43.25500980707842
Andaraí,-22.933306840724267,-43.25825845619183
Catete,-22.926570632087422,-43.179933799799045
Flamengo,-22.9348703777366,-43.17489700350885
Flamengo,-22.93847604258558,-43.17513026684073
Flamengo,-22.932152412533917,-43.1744436213682
Laranjeiras,-22.933436956265254,-43.18718131261842
Laranjeiras,-22.940743297757457,-43.19266586302951
Guaratiba,-22.99387829642962,-43.594772887052656
Guaratiba,-22.96455434579056,-43.59619143618785
Guaratiba,-22.974967177189114,-43.64907688302259
Vargem Grande,-22.972259943597955,-43.49780971906256
Vargem Grande,-23.00283868991029,-43.50707943294177
Alto da Boa Vista,-22.963826510761766,-43.264437460217295
Cosme Velho,-22.941623961356004,-43.200340656586455
Cosme Velho,-22.94215683730519,-43.20405849758736
Cosme Velho,-22.94167027051899,-43.19845712400228
Cosme Velho,-22.939062520266962,-43.19630553085206
Curicica,-22.94998590376666,-43.3849480939769
Curicica,-22.943956560195208,-43.38190399836281
Curicica,-22.957234684104936,-43.39014374403321
Botafogo,-22.951385138690686,-43.18777948974914
Botafogo,-22.9555926710086,-43.179177038752655
Botafogo,-22.94523888192051,-43.18462728711814
Cidade de Deus,-22.9476317920302,-43.36255796085143
Cidade de Deus,-22.94954571624567,-43.3631462071007
Cidade de Deus,-22.950674715413946,-43.35923282933108
Cidade de Deus,-22.946213591462637,-43.36785466191731
Sepetiba,-22.975266316778047,-43.688979588299006
Sepetiba,-22.969260508781687,-43.70048089996395
Sepetiba,-22.96040935801691,-43.695846043024346
Anil,-22.950723103038577,-43.3344883612439
Anil,-22.95430553937981,-43.34267457027575
Anil,-22.973473725326514,-43.334269409750355
Jacarepaguá,-22.96371402241757,-43.370479230722715
Jacarepaguá,-22.939212879323055,-43.40489733532895
Jacarepaguá,-22.965383961402427,-43.326046406120795
Jacarepaguá,-22.966914650412093,-43.41292250399375
Jacarepaguá,-22.975172710902406,-43.33833563952646
Camorim,-22.981442429041522,-43.418231604837075
Gardênia Azul,-22.958996715932024,-43.352909144327626
Gardênia Azul,-22.958996715932024,-43.352909144327626
Jardim Botânico,-22.964667367347793,-43.222889547876775
Jardim Botânico,-22.967107704811955,-43.23667078072275
Jardim Botânico,-22.95857254065881,-43.207488348140046
Vargem Pequena,-22.980648643860114,-43.46145308056124
Vargem Pequena,-22.98581709256655,-43.45212798201803
Vargem Pequena,-22.989086806452505,-43.43872939235537
Leme,-22.961292503016953,-43.1671248421196
Leme,-22.96263177147597,-43.17075178185909
Lagoa,-22.973542494800718,-43.20388207350381
Lagoa,-22.963901339909636,-43.205813263895315
Lagoa,-22.972673238547483,-43.217357490902295
Lagoa,-22.966509261087353,-43.2124222265971
Itanhangá,-22.98591152294974,-43.30821593864873
Itanhangá,-22.98349191999593,-43.32632942615828
Gávea,-22.975921322004393,-43.23033672778702
Gávea,-22.979043603301662,-43.23449931019163
Gávea,-22.983626675408058,-43.23853335259406
Barra da Tijuca,-22.99307587986864,-43.385986622854105
Barra da Tijuca,-23.003183687686157,-43.40669383503324
Barra da Tijuca,-23.000354853623072,-43.340257602269894
Barra da Tijuca,-23.010452016326916,-43.310220144757515
Barra da Tijuca,-23.004842797191202,-43.32257976464779
Leblon,-22.982286551684616,-43.22012441917235
Leblon,-22.983282251684145,-43.22603454422008
Leblon,-22.985200517492032,-43.22910717890403
Ipanema,-22.983460705346396,-43.201992208855216
Ipanema,-22.983487306056944,-43.20891327160841
Ipanema,-22.986173865018944,-43.195223277499764
São Conrado,-22.991699272554683,-43.27012987671909
São Conrado,-22.995652899794802,-43.25535194421548
Rocinha,-22.987178845586584,-43.25260247103304
Rocinha,-22.989807773929115,-43.24830813797371
Rocinha,-22.989985836335823,-43.24587120033258
Pedra de Guaratiba,-22.998323225156568,-43.635028678169775
Pedra de Guaratiba,-22.996548925229497,-43.64386531697613
Recreio dos Bandeirantes,-23.01169032251267,-43.471635740792436
Recreio dos Bandeirantes,-23.006689072706695,-43.4489911872743
Recreio dos Bandeirantes,-23.026675514898624,-43.49259317522121
Vidigal,-22.994342253364437,-43.23895876686745
Vidigal,-22.99584103885341,-43.24239272016807
Caju,-22.881423842961382,-43.22079539900629
Caju,-22.87847779834351,-43.21377755634961
Caju,-22.878784005085606,-43.23073321902863
Deodoro,-22.84467995165768,-43.388719988787855
Deodoro,-22.851480753393417,-43.38639327406898
Deodoro,-22.861393951015632,-43.383316289580264
Lapa,-22.912383915542062,-43.18310922652135
Lapa,-22.912905103141387,-43.18108675242992
Lapa,-22.914735893109544,-43.17774480876718
Lapa,-22.911593325683764,-43.18491167104994
Lapa,-22.9160180989901,-43.17747658803219
Campo Grande,-22.870903421681263,-43.56875242658805
Campo Grande,-22.922847125122306,-43.548618773408826
Campo Grande,-22.84566978691956,-43.54879043482988
Campo Grande,-22.89825952027389,-43.56098912082493
Campo Grande,-22.915495029082276,-43.51565979052871
Jabour,-22.88099236982961,-43.49335601797089
Vila Kennedy,-22.8571572710922,-43.4909865721177
Vila Kennedy,-22.856524542197477,-43.48386262534016
